Epoch 46 | Train Loss: 0.21354437 | Test Loss: 0.20886526 | Train Error: -0.60818247 | Test Error: -1.10167942 | Train Error_abs: 4.11640568 | Test Error_abs: 2.66404871
Epoch 47 | Train Loss: 0.21290204 | Test Loss: 0.20789383 | Train Error: -0.49857191 | Test Error: -1.09793502 | Train Error_abs: 4.04032097 | Test Error_abs: 2.70205476
Epoch 48 | Train Loss: 0.21215612 | Test Loss: 0.20715559 | Train Error: -0.82059610 | Test Error: -1.09006262 | Train Error_abs: 3.92202360 | Test Error_abs: 2.72153517
Epoch 49 | Train Loss: 0.21145844 | Test Loss: 0.20626567 | Train Error: -0.54735871 | Test Error: -1.07911990 | Train Error_abs: 4.34287206 | Test Error_abs: 2.74693882
Epoch 50 | Train Loss: 0.21085129 | Test Loss: 0.20491901 | Train Error: 0.04025978 | Test Error: -1.06781991 | Train Error_abs: 4.40263333 | Test Error_abs: 2.79071290
Epoch 51 | Train Loss: 0.21012624 | Test Loss: 0.20387199 | Train Error: -0.13829031 | Test Error: -1.05151215 | Train Error_abs: 4.75379021 | Test Error_abs: 2.82518028
Epoch 52 | Train Loss: 0.20950345 | Test Loss: 0.20300508 | Train Error: -0.67571743 | Test Error: -1.03800868 | Train Error_abs: 3.90890022 | Test Error_abs: 2.84867549
Epoch 53 | Train Loss: 0.20863966 | Test Loss: 0.20204319 | Train Error: 0.05202615 | Test Error: -1.02691410 | Train Error_abs: 5.07420823 | Test Error_abs: 2.88877642
Epoch 54 | Train Loss: 0.20806085 | Test Loss: 0.20110556 | Train Error: -0.45402707 | Test Error: -1.01361323 | Train Error_abs: 4.08657602 | Test Error_abs: 2.92495326
Epoch 55 | Train Loss: 0.20723847 | Test Loss: 0.20009915 | Train Error: -0.88326281 | Test Error: -0.99747462 | Train Error_abs: 4.05627726 | Test Error_abs: 2.95936333
Epoch 56 | Train Loss: 0.20661511 | Test Loss: 0.19941796 | Train Error: 0.14722037 | Test Error: -0.98705658 | Train Error_abs: 4.81647795 | Test Error_abs: 2.97910331
Epoch 57 | Train Loss: 0.20584234 | Test Loss: 0.19896489 | Train Error: -0.02418258 | Test Error: -0.97847741 | Train Error_abs: 4.70459586 | Test Error_abs: 2.97667033
Epoch 58 | Train Loss: 0.20497179 | Test Loss: 0.19779213 | Train Error: -0.52240679 | Test Error: -0.96228424 | Train Error_abs: 4.20524083 | Test Error_abs: 3.02176940
Epoch 59 | Train Loss: 0.20451395 | Test Loss: 0.19713695 | Train Error: -0.73665728 | Test Error: -0.95017450 | Train Error_abs: 4.15555720 | Test Error_abs: 3.02562188
Epoch 60 | Train Loss: 0.20389578 | Test Loss: 0.19621289 | Train Error: -0.47555212 | Test Error: -0.93497394 | Train Error_abs: 4.31776007 | Test Error_abs: 3.06008927
Epoch 61 | Train Loss: 0.20296038 | Test Loss: 0.19537134 | Train Error: -0.47482470 | Test Error: -0.92306225 | Train Error_abs: 4.30127777 | Test Error_abs: 3.08545908
Epoch 62 | Train Loss: 0.20229882 | Test Loss: 0.19457920 | Train Error: -0.51324833 | Test Error: -0.91249817 | Train Error_abs: 4.39162685 | Test Error_abs: 3.10292868
Epoch 63 | Train Loss: 0.20129832 | Test Loss: 0.19362413 | Train Error: -0.53994727 | Test Error: -0.89578449 | Train Error_abs: 4.31795657 | Test Error_abs: 3.12069674
Epoch 64 | Train Loss: 0.20067718 | Test Loss: 0.19291503 | Train Error: -0.89519877 | Test Error: -0.88679253 | Train Error_abs: 4.01923719 | Test Error_abs: 3.12296312
Epoch 65 | Train Loss: 0.19985524 | Test Loss: 0.19213119 | Train Error: -0.65950954 | Test Error: -0.88013484 | Train Error_abs: 4.26330979 | Test Error_abs: 3.13063115
Epoch 66 | Train Loss: 0.19902248 | Test Loss: 0.19097416 | Train Error: 0.48737869 | Test Error: -0.86309492 | Train Error_abs: 5.04830735 | Test Error_abs: 3.15680602
Epoch 67 | Train Loss: 0.19803616 | Test Loss: 0.19001821 | Train Error: -0.75474872 | Test Error: -0.85093710 | Train Error_abs: 4.07532126 | Test Error_abs: 3.16076833
Epoch 68 | Train Loss: 0.19729512 | Test Loss: 0.18902226 | Train Error: -0.74121608 | Test Error: -0.84129517 | Train Error_abs: 3.99691250 | Test Error_abs: 3.16655557
Epoch 69 | Train Loss: 0.19643597 | Test Loss: 0.18798489 | Train Error: -0.97172473 | Test Error: -0.83150054 | Train Error_abs: 4.11519924 | Test Error_abs: 3.16543677
Epoch 70 | Train Loss: 0.19535438 | Test Loss: 0.18672573 | Train Error: -0.58152906 | Test Error: -0.82032210 | Train Error_abs: 4.14020135 | Test Error_abs: 3.18421240
Epoch 71 | Train Loss: 0.19418696 | Test Loss: 0.18567837 | Train Error: -0.50122403 | Test Error: -0.81144497 | Train Error_abs: 4.24263527 | Test Error_abs: 3.16980664
Epoch 72 | Train Loss: 0.19337206 | Test Loss: 0.18452590 | Train Error: -0.70968793 | Test Error: -0.80947357 | Train Error_abs: 4.19105053 | Test Error_abs: 3.16948357
Epoch 73 | Train Loss: 0.19213190 | Test Loss: 0.18322221 | Train Error: -0.97879030 | Test Error: -0.79935053 | Train Error_abs: 4.02404678 | Test Error_abs: 3.17495879
Epoch 74 | Train Loss: 0.19109935 | Test Loss: 0.18196352 | Train Error: -0.62125494 | Test Error: -0.79534634 | Train Error_abs: 4.01115323 | Test Error_abs: 3.17943580
Epoch 75 | Train Loss: 0.19002742 | Test Loss: 0.18063726 | Train Error: -0.70526673 | Test Error: -0.78623149 | Train Error_abs: 3.94584661 | Test Error_abs: 3.18236471
Epoch 76 | Train Loss: 0.18878379 | Test Loss: 0.17941142 | Train Error: -0.33371270 | Test Error: -0.77618249 | Train Error_abs: 4.21941568 | Test Error_abs: 3.17028789
Epoch 77 | Train Loss: 0.18777749 | Test Loss: 0.17798657 | Train Error: -0.53782684 | Test Error: -0.76829862 | Train Error_abs: 4.39243433 | Test Error_abs: 3.18052333
Epoch 78 | Train Loss: 0.18663243 | Test Loss: 0.17672028 | Train Error: -0.81407090 | Test Error: -0.76277516 | Train Error_abs: 4.01667690 | Test Error_abs: 3.17149645
Epoch 79 | Train Loss: 0.18528128 | Test Loss: 0.17517606 | Train Error: -0.77856135 | Test Error: -0.75297784 | Train Error_abs: 4.02957009 | Test Error_abs: 3.19332849
Epoch 80 | Train Loss: 0.18423162 | Test Loss: 0.17388694 | Train Error: -0.77306488 | Test Error: -0.74523785 | Train Error_abs: 4.09958896 | Test Error_abs: 3.18425850
Epoch 81 | Train Loss: 0.18297222 | Test Loss: 0.17259427 | Train Error: -0.69123861 | Test Error: -0.74170218 | Train Error_abs: 4.33399150 | Test Error_abs: 3.17742997
Epoch 82 | Train Loss: 0.18179337 | Test Loss: 0.17116770 | Train Error: -0.90908138 | Test Error: -0.73558303 | Train Error_abs: 4.05722787 | Test Error_abs: 3.19196068
