Epoch 54 | Train Loss: 0.31933612 | Test Loss: 0.30161846 | Train Error: -0.85898515 | Test Error: -0.99122033 | Train Error_abs: 3.46597472 | Test Error_abs: 2.40726903
Epoch 55 | Train Loss: 0.31678019 | Test Loss: 0.29831100 | Train Error: -0.54726341 | Test Error: -0.98557583 | Train Error_abs: 3.99448995 | Test Error_abs: 2.43145053
Epoch 56 | Train Loss: 0.31382524 | Test Loss: 0.29441320 | Train Error: -0.56241622 | Test Error: -0.98141414 | Train Error_abs: 3.42181386 | Test Error_abs: 2.48473276
Epoch 57 | Train Loss: 0.31068813 | Test Loss: 0.29026076 | Train Error: -0.69834628 | Test Error: -0.97137301 | Train Error_abs: 3.79089652 | Test Error_abs: 2.50107152
Epoch 58 | Train Loss: 0.30729023 | Test Loss: 0.28629587 | Train Error: -0.86715394 | Test Error: -0.97011030 | Train Error_abs: 3.31095142 | Test Error_abs: 2.52245702
Epoch 59 | Train Loss: 0.30418893 | Test Loss: 0.28193274 | Train Error: -0.61739756 | Test Error: -0.96240076 | Train Error_abs: 3.69421099 | Test Error_abs: 2.54297204
Epoch 60 | Train Loss: 0.30117096 | Test Loss: 0.27811630 | Train Error: -0.91900268 | Test Error: -0.96196659 | Train Error_abs: 3.43560153 | Test Error_abs: 2.55210437
Epoch 61 | Train Loss: 0.29804984 | Test Loss: 0.27399959 | Train Error: -0.68887927 | Test Error: -0.95779374 | Train Error_abs: 3.76697764 | Test Error_abs: 2.57087841
Epoch 62 | Train Loss: 0.29470131 | Test Loss: 0.26995097 | Train Error: -1.00180454 | Test Error: -0.95478892 | Train Error_abs: 3.47519808 | Test Error_abs: 2.57010356
Epoch 63 | Train Loss: 0.29167302 | Test Loss: 0.26669084 | Train Error: -0.64465621 | Test Error: -0.96197650 | Train Error_abs: 3.85450753 | Test Error_abs: 2.60538188
Epoch 64 | Train Loss: 0.28844183 | Test Loss: 0.26288790 | Train Error: -0.71395446 | Test Error: -0.95489983 | Train Error_abs: 3.65064184 | Test Error_abs: 2.59804799
Epoch 65 | Train Loss: 0.28501724 | Test Loss: 0.25911427 | Train Error: -1.05859577 | Test Error: -0.94860261 | Train Error_abs: 3.42747254 | Test Error_abs: 2.62173010
Epoch 66 | Train Loss: 0.28214654 | Test Loss: 0.25667825 | Train Error: -0.87499801 | Test Error: -0.95335195 | Train Error_abs: 3.63391879 | Test Error_abs: 2.60432409
Epoch 67 | Train Loss: 0.27935732 | Test Loss: 0.25340529 | Train Error: -0.87748066 | Test Error: -0.94958769 | Train Error_abs: 3.20734103 | Test Error_abs: 2.62131258
Epoch 68 | Train Loss: 0.27671262 | Test Loss: 0.25111223 | Train Error: -0.22539135 | Test Error: -0.95274049 | Train Error_abs: 3.89134885 | Test Error_abs: 2.58195934
Epoch 69 | Train Loss: 0.27415591 | Test Loss: 0.24879209 | Train Error: -0.84081026 | Test Error: -0.95413593 | Train Error_abs: 3.61022550 | Test Error_abs: 2.57052187
Epoch 70 | Train Loss: 0.27217536 | Test Loss: 0.24630783 | Train Error: -0.36892783 | Test Error: -0.95196727 | Train Error_abs: 3.99235517 | Test Error_abs: 2.57749021
Epoch 71 | Train Loss: 0.27033064 | Test Loss: 0.24506130 | Train Error: -0.63133638 | Test Error: -0.96345368 | Train Error_abs: 3.85802891 | Test Error_abs: 2.55897018
Epoch 72 | Train Loss: 0.26808794 | Test Loss: 0.24308453 | Train Error: -0.82241752 | Test Error: -0.96171982 | Train Error_abs: 3.79473556 | Test Error_abs: 2.54600127
Epoch 73 | Train Loss: 0.26644627 | Test Loss: 0.24211591 | Train Error: -0.77634909 | Test Error: -0.97224979 | Train Error_abs: 3.89624387 | Test Error_abs: 2.50991878
Epoch 74 | Train Loss: 0.26492650 | Test Loss: 0.24058018 | Train Error: -0.70040162 | Test Error: -0.97434371 | Train Error_abs: 3.79737756 | Test Error_abs: 2.49838923
Epoch 75 | Train Loss: 0.26279614 | Test Loss: 0.23855866 | Train Error: -0.82464339 | Test Error: -0.96590014 | Train Error_abs: 3.63324734 | Test Error_abs: 2.48877037
Epoch 76 | Train Loss: 0.26186350 | Test Loss: 0.23740902 | Train Error: -0.70031931 | Test Error: -0.97153762 | Train Error_abs: 3.59433662 | Test Error_abs: 2.47429768
Epoch 77 | Train Loss: 0.26065215 | Test Loss: 0.23551552 | Train Error: -1.05185275 | Test Error: -0.96665903 | Train Error_abs: 3.93335589 | Test Error_abs: 2.45278764
Epoch 78 | Train Loss: 0.25924642 | Test Loss: 0.23391605 | Train Error: -0.27969147 | Test Error: -0.96768323 | Train Error_abs: 3.90564039 | Test Error_abs: 2.46755083
Epoch 79 | Train Loss: 0.25801239 | Test Loss: 0.23208520 | Train Error: -0.36603678 | Test Error: -0.96459934 | Train Error_abs: 3.67308057 | Test Error_abs: 2.49232239
Epoch 80 | Train Loss: 0.25670332 | Test Loss: 0.23117771 | Train Error: -0.77073574 | Test Error: -0.96822617 | Train Error_abs: 4.06692890 | Test Error_abs: 2.47892638
Epoch 81 | Train Loss: 0.25567358 | Test Loss: 0.23001459 | Train Error: -0.54558229 | Test Error: -0.96602397 | Train Error_abs: 4.02275920 | Test Error_abs: 2.48621361
Epoch 82 | Train Loss: 0.25453801 | Test Loss: 0.22823264 | Train Error: -0.14449788 | Test Error: -0.95824853 | Train Error_abs: 4.45223073 | Test Error_abs: 2.51704076
Epoch 83 | Train Loss: 0.25355943 | Test Loss: 0.22630208 | Train Error: -0.02224002 | Test Error: -0.94733316 | Train Error_abs: 4.36889001 | Test Error_abs: 2.55786319
Epoch 84 | Train Loss: 0.25285483 | Test Loss: 0.22602570 | Train Error: -0.62058451 | Test Error: -0.95375893 | Train Error_abs: 3.89492891 | Test Error_abs: 2.54487321
