Epoch 48 | Train Loss: 0.02429269 | Test Loss: 0.02350445 | Train Error: 0.82225084 | Test Error: 0.72134984 | Train Error_abs: 0.94668523 | Test Error_abs: 0.85241570
Epoch 49 | Train Loss: 0.02387152 | Test Loss: 0.02372105 | Train Error: 0.80635465 | Test Error: 0.67768134 | Train Error_abs: 0.93046359 | Test Error_abs: 0.82184749
Epoch 50 | Train Loss: 0.02371305 | Test Loss: 0.02261516 | Train Error: 0.79879699 | Test Error: 0.67979501 | Train Error_abs: 0.92271436 | Test Error_abs: 0.81729344
Epoch 51 | Train Loss: 0.02344110 | Test Loss: 0.02333218 | Train Error: 0.78162260 | Test Error: 0.63089393 | Train Error_abs: 0.90528102 | Test Error_abs: 0.78735520
Epoch 52 | Train Loss: 0.02313177 | Test Loss: 0.02213785 | Train Error: 0.76900272 | Test Error: 0.66750923 | Train Error_abs: 0.89338500 | Test Error_abs: 0.80364677
Epoch 53 | Train Loss: 0.02284947 | Test Loss: 0.02173489 | Train Error: 0.74892203 | Test Error: 0.62826055 | Train Error_abs: 0.87378259 | Test Error_abs: 0.77099265
Epoch 54 | Train Loss: 0.02252753 | Test Loss: 0.02142265 | Train Error: 0.73053887 | Test Error: 0.60096212 | Train Error_abs: 0.85579775 | Test Error_abs: 0.74605471
Epoch 55 | Train Loss: 0.02224171 | Test Loss: 0.02068912 | Train Error: 0.71812280 | Test Error: 0.62614577 | Train Error_abs: 0.84394618 | Test Error_abs: 0.75193593
Epoch 56 | Train Loss: 0.02198567 | Test Loss: 0.02037048 | Train Error: 0.70619933 | Test Error: 0.58470083 | Train Error_abs: 0.83144942 | Test Error_abs: 0.71977091
Epoch 57 | Train Loss: 0.02158753 | Test Loss: 0.02105424 | Train Error: 0.69312827 | Test Error: 0.55210079 | Train Error_abs: 0.81804253 | Test Error_abs: 0.69845080
Epoch 58 | Train Loss: 0.02149949 | Test Loss: 0.02006121 | Train Error: 0.68696307 | Test Error: 0.58925614 | Train Error_abs: 0.81167161 | Test Error_abs: 0.71610299
Epoch 59 | Train Loss: 0.02134832 | Test Loss: 0.02011208 | Train Error: 0.68239856 | Test Error: 0.59677435 | Train Error_abs: 0.80702876 | Test Error_abs: 0.72136133
Epoch 60 | Train Loss: 0.02132371 | Test Loss: 0.02002691 | Train Error: 0.67445483 | Test Error: 0.58091434 | Train Error_abs: 0.79917340 | Test Error_abs: 0.70755888
Epoch 61 | Train Loss: 0.02107394 | Test Loss: 0.01995122 | Train Error: 0.67355209 | Test Error: 0.53634666 | Train Error_abs: 0.79797694 | Test Error_abs: 0.67864586
Epoch 62 | Train Loss: 0.02095509 | Test Loss: 0.01925810 | Train Error: 0.66729890 | Test Error: 0.56372925 | Train Error_abs: 0.79071117 | Test Error_abs: 0.69565904
Epoch 63 | Train Loss: 0.02082024 | Test Loss: 0.01922264 | Train Error: 0.67061385 | Test Error: 0.58867616 | Train Error_abs: 0.79345893 | Test Error_abs: 0.70925617
Epoch 64 | Train Loss: 0.02074310 | Test Loss: 0.01964778 | Train Error: 0.66590876 | Test Error: 0.54826498 | Train Error_abs: 0.78850372 | Test Error_abs: 0.68236806
Epoch 65 | Train Loss: 0.02067876 | Test Loss: 0.01974686 | Train Error: 0.66271307 | Test Error: 0.60931437 | Train Error_abs: 0.78488460 | Test Error_abs: 0.72344660
Epoch 66 | Train Loss: 0.02047449 | Test Loss: 0.01922358 | Train Error: 0.66165553 | Test Error: 0.55540949 | Train Error_abs: 0.78311382 | Test Error_abs: 0.68879633
Epoch 67 | Train Loss: 0.02043849 | Test Loss: 0.01901112 | Train Error: 0.66095373 | Test Error: 0.55876346 | Train Error_abs: 0.78236473 | Test Error_abs: 0.68567181
Epoch 68 | Train Loss: 0.02038941 | Test Loss: 0.01913144 | Train Error: 0.66097190 | Test Error: 0.52526876 | Train Error_abs: 0.78192592 | Test Error_abs: 0.66075791
Epoch 69 | Train Loss: 0.02036460 | Test Loss: 0.01864868 | Train Error: 0.65803600 | Test Error: 0.53949997 | Train Error_abs: 0.77907121 | Test Error_abs: 0.66944873
Epoch 70 | Train Loss: 0.02027326 | Test Loss: 0.01842176 | Train Error: 0.65724279 | Test Error: 0.56343963 | Train Error_abs: 0.77819592 | Test Error_abs: 0.68767227
Epoch 71 | Train Loss: 0.02017017 | Test Loss: 0.01851351 | Train Error: 0.65592573 | Test Error: 0.53071422 | Train Error_abs: 0.77626107 | Test Error_abs: 0.66137423
Epoch 72 | Train Loss: 0.01994386 | Test Loss: 0.01818208 | Train Error: 0.65462490 | Test Error: 0.54438307 | Train Error_abs: 0.77418080 | Test Error_abs: 0.67445735
Epoch 73 | Train Loss: 0.02004699 | Test Loss: 0.01836183 | Train Error: 0.65436522 | Test Error: 0.58566564 | Train Error_abs: 0.77410860 | Test Error_abs: 0.70131248
Epoch 74 | Train Loss: 0.02001594 | Test Loss: 0.01821711 | Train Error: 0.65870504 | Test Error: 0.56754592 | Train Error_abs: 0.77820973 | Test Error_abs: 0.68568665
Epoch 75 | Train Loss: 0.01989585 | Test Loss: 0.01798096 | Train Error: 0.65371089 | Test Error: 0.54635531 | Train Error_abs: 0.77327571 | Test Error_abs: 0.66739705
Epoch 76 | Train Loss: 0.01984323 | Test Loss: 0.01801023 | Train Error: 0.65416751 | Test Error: 0.57220195 | Train Error_abs: 0.77319140 | Test Error_abs: 0.68808728
Epoch 77 | Train Loss: 0.01980271 | Test Loss: 0.01801545 | Train Error: 0.65851042 | Test Error: 0.55373223 | Train Error_abs: 0.77712221 | Test Error_abs: 0.67177311
Epoch 78 | Train Loss: 0.01964420 | Test Loss: 0.01765915 | Train Error: 0.65475698 | Test Error: 0.54090430 | Train Error_abs: 0.77285726 | Test Error_abs: 0.66502417
Epoch 79 | Train Loss: 0.01972737 | Test Loss: 0.01805346 | Train Error: 0.65152446 | Test Error: 0.55779237 | Train Error_abs: 0.76976076 | Test Error_abs: 0.67938056
Epoch 80 | Train Loss: 0.01955490 | Test Loss: 0.01777612 | Train Error: 0.64953459 | Test Error: 0.53437820 | Train Error_abs: 0.76796534 | Test Error_abs: 0.65964772
Epoch 81 | Train Loss: 0.01968329 | Test Loss: 0.01789726 | Train Error: 0.65254630 | Test Error: 0.51746253 | Train Error_abs: 0.77081936 | Test Error_abs: 0.65146972
Epoch 82 | Train Loss: 0.01946535 | Test Loss: 0.01772256 | Train Error: 0.64983033 | Test Error: 0.57432542 | Train Error_abs: 0.76760650 | Test Error_abs: 0.68510657
Epoch 83 | Train Loss: 0.01938403 | Test Loss: 0.01768478 | Train Error: 0.64915201 | Test Error: 0.51796254 | Train Error_abs: 0.76654666 | Test Error_abs: 0.64634054
Epoch 84 | Train Loss: 0.01932355 | Test Loss: 0.01739069 | Train Error: 0.64781034 | Test Error: 0.52124564 | Train Error_abs: 0.76525543 | Test Error_abs: 0.64875974
Epoch 85 | Train Loss: 0.01943852 | Test Loss: 0.01730779 | Train Error: 0.64837277 | Test Error: 0.55557066 | Train Error_abs: 0.76639116 | Test Error_abs: 0.67227863
Epoch 86 | Train Loss: 0.01940689 | Test Loss: 0.01757610 | Train Error: 0.64859820 | Test Error: 0.51482333 | Train Error_abs: 0.76597148 | Test Error_abs: 0.64049141
Epoch 87 | Train Loss: 0.01929780 | Test Loss: 0.01842997 | Train Error: 0.64566681 | Test Error: 0.60366704 | Train Error_abs: 0.76300533 | Test Error_abs: 0.70997203
Epoch 88 | Train Loss: 0.01931763 | Test Loss: 0.01749042 | Train Error: 0.65043779 | Test Error: 0.52874268 | Train Error_abs: 0.76767226 | Test Error_abs: 0.64877648
Epoch 89 | Train Loss: 0.01917053 | Test Loss: 0.01729855 | Train Error: 0.64509650 | Test Error: 0.53047970 | Train Error_abs: 0.76196782 | Test Error_abs: 0.65057619
Epoch 90 | Train Loss: 0.01916598 | Test Loss: 0.01732600 | Train Error: 0.64615086 | Test Error: 0.51209766 | Train Error_abs: 0.76303761 | Test Error_abs: 0.63729296
Epoch 91 | Train Loss: 0.01916530 | Test Loss: 0.01736145 | Train Error: 0.64355477 | Test Error: 0.56223570 | Train Error_abs: 0.76066864 | Test Error_abs: 0.67284533
Epoch 92 | Train Loss: 0.01914629 | Test Loss: 0.01759936 | Train Error: 0.64373202 | Test Error: 0.52468082 | Train Error_abs: 0.76083245 | Test Error_abs: 0.65115426
Epoch 93 | Train Loss: 0.01910956 | Test Loss: 0.01707885 | Train Error: 0.64406962 | Test Error: 0.52778626 | Train Error_abs: 0.76032483 | Test Error_abs: 0.65037389
Epoch 94 | Train Loss: 0.01920642 | Test Loss: 0.01789731 | Train Error: 0.64579271 | Test Error: 0.49815541 | Train Error_abs: 0.76266516 | Test Error_abs: 0.63470883
Epoch 95 | Train Loss: 0.01902161 | Test Loss: 0.01697169 | Train Error: 0.64333611 | Test Error: 0.55195962 | Train Error_abs: 0.75967737 | Test Error_abs: 0.66738832
Epoch 96 | Train Loss: 0.01896263 | Test Loss: 0.01701055 | Train Error: 0.63988367 | Test Error: 0.53703546 | Train Error_abs: 0.75621386 | Test Error_abs: 0.65202681
Epoch 97 | Train Loss: 0.01886438 | Test Loss: 0.01706880 | Train Error: 0.64014934 | Test Error: 0.51348273 | Train Error_abs: 0.75618444 | Test Error_abs: 0.63294862
Epoch 98 | Train Loss: 0.01883407 | Test Loss: 0.01731983 | Train Error: 0.64197138 | Test Error: 0.54422075 | Train Error_abs: 0.75730994 | Test Error_abs: 0.65990093
Epoch 99 | Train Loss: 0.01888879 | Test Loss: 0.01724906 | Train Error: 0.64062414 | Test Error: 0.49460987 | Train Error_abs: 0.75632256 | Test Error_abs: 0.62531099
