Epoch 70 | Train Loss: 0.05316397 | Test Loss: 0.04389950 | Train Error: -0.33542083 | Test Error: -17.14302476 | Train Error_abs: 9.80135209 | Test Error_abs: 27.28185100
Epoch 71 | Train Loss: 0.05259834 | Test Loss: 0.04334705 | Train Error: -0.31890842 | Test Error: -17.28594121 | Train Error_abs: 10.04912891 | Test Error_abs: 27.39096472
Epoch 72 | Train Loss: 0.05189740 | Test Loss: 0.04286041 | Train Error: -0.50551460 | Test Error: -17.28805719 | Train Error_abs: 10.00964648 | Test Error_abs: 27.35881868
Epoch 73 | Train Loss: 0.05135440 | Test Loss: 0.04234734 | Train Error: -0.17567356 | Test Error: -17.39284960 | Train Error_abs: 9.75971742 | Test Error_abs: 27.43008127
Epoch 74 | Train Loss: 0.05077354 | Test Loss: 0.04192024 | Train Error: -0.31896268 | Test Error: -17.45088749 | Train Error_abs: 9.84486913 | Test Error_abs: 27.42207124
Epoch 75 | Train Loss: 0.05015020 | Test Loss: 0.04136494 | Train Error: -0.34294664 | Test Error: -17.78447515 | Train Error_abs: 9.88975646 | Test Error_abs: 27.73527536
Epoch 76 | Train Loss: 0.04963336 | Test Loss: 0.04093384 | Train Error: -0.28636248 | Test Error: -17.54387824 | Train Error_abs: 9.72577616 | Test Error_abs: 27.51142909
Epoch 77 | Train Loss: 0.04902450 | Test Loss: 0.04050037 | Train Error: -0.43952272 | Test Error: -17.52207090 | Train Error_abs: 9.58233267 | Test Error_abs: 27.50358762
Epoch 78 | Train Loss: 0.04867633 | Test Loss: 0.04014334 | Train Error: -0.63349899 | Test Error: -17.30378818 | Train Error_abs: 9.58193586 | Test Error_abs: 27.16790647
Epoch 79 | Train Loss: 0.04822141 | Test Loss: 0.03971124 | Train Error: -0.48429549 | Test Error: -17.61421936 | Train Error_abs: 10.03160466 | Test Error_abs: 27.42315516
Epoch 80 | Train Loss: 0.04770266 | Test Loss: 0.03938501 | Train Error: -0.31898401 | Test Error: -17.37612479 | Train Error_abs: 9.21380528 | Test Error_abs: 27.14566813
Epoch 81 | Train Loss: 0.04723078 | Test Loss: 0.03900353 | Train Error: -0.60296601 | Test Error: -17.55112359 | Train Error_abs: 10.03100714 | Test Error_abs: 27.26232016
Epoch 82 | Train Loss: 0.04677214 | Test Loss: 0.03859873 | Train Error: -0.58427201 | Test Error: -17.63222754 | Train Error_abs: 9.77814165 | Test Error_abs: 27.34121682
Epoch 83 | Train Loss: 0.04633285 | Test Loss: 0.03823774 | Train Error: -0.31885020 | Test Error: -17.59199282 | Train Error_abs: 9.84386997 | Test Error_abs: 27.20755924
Epoch 84 | Train Loss: 0.04602480 | Test Loss: 0.03790416 | Train Error: -0.36797686 | Test Error: -17.65353961 | Train Error_abs: 9.79056638 | Test Error_abs: 27.21539525
Epoch 85 | Train Loss: 0.04558046 | Test Loss: 0.03756955 | Train Error: -0.20413339 | Test Error: -17.42376026 | Train Error_abs: 9.49833489 | Test Error_abs: 26.92499446
Epoch 86 | Train Loss: 0.04510426 | Test Loss: 0.03716583 | Train Error: -0.40791839 | Test Error: -17.77179578 | Train Error_abs: 9.43561032 | Test Error_abs: 27.30603328
Epoch 87 | Train Loss: 0.04481952 | Test Loss: 0.03688038 | Train Error: -0.39892047 | Test Error: -17.80603163 | Train Error_abs: 9.32423753 | Test Error_abs: 27.23632604
